Mã giao dịch,Đại lý,Điểm bán hàng,Thuê bao mua dịch vụ,Thuộc đối tác/chi nhánh,Dịch vụ,Tên gói,Tên kênh,Trạng thái cước,Cờ chốt cước,Trạng thái giao dịch,Thời gian thực hiện giao dịch,Thời gian chốt hoa hồng giao dịch,Loại giao dịch,Giá,Hoa hồng điểm bán,Hoa hồng đại lý
160016249,"IPacking","IPacking_db",84779836656,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 22:24:59,31/07/2023 22:24:59,Cài đặt,90000,0,29455
160014977,"IPacking","IPacking_db",84909490784,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 21:15:42,31/07/2023 21:15:42,Cài đặt,90000,0,29455
160014475,"IPacking","IPacking_db",84939765485,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:54:39,31/07/2023 20:54:39,Cài đặt,70000,0,22909
160014297,"IPacking","IPacking_db",84938301696,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:47:39,31/07/2023 20:47:39,Cài đặt,70000,0,22909
160013955,"IPacking","IPacking_db",84787338631,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:34:26,31/07/2023 20:34:26,Cài đặt,70000,0,22909
160013605,"IPacking","IPacking_db",84907479568,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:22:13,31/07/2023 20:22:13,Cài đặt,150000,0,49091
160013519,"IPacking","IPacking_db",84782510814,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:18:48,31/07/2023 20:18:48,Cài đặt,90000,0,29455
160013295,"IPacking","IPacking_db",84935436192,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:10:22,31/07/2023 20:10:22,Cài đặt,70000,0,22909
160013149,"IPacking","IPacking_db",84936124370,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 20:05:45,31/07/2023 20:05:45,Cài đặt,150000,0,49091
160012909,"IPacking","IPacking_db",84783803070,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 19:57:40,31/07/2023 19:57:40,Cài đặt,70000,0,22909
